"","scrubbed_species_binomial","Height","Leaf_N","Leaf_P","Seed_mass","SLA","Wood_density","FAMILY_STD","GROWTHFORM_STD","GROWTHFORM_DIV","GROWTHFORM_GEN"
"8388","Helianthus debilis",NA,53.9366666666667,3.53,3.38,2.59886779374861e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8389","Helianthus divaricatus",NA,52.69,5.235,NA,3.18213681452784e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8390","Helianthus floridanus",NA,32.8166666666667,2.70666666666667,NA,2.2915593201821e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8391","Helianthus giganteus",3,55.57,2.885,3.228,3.42216361961764e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8392","Helianthus gracilentus",NA,NA,NA,1.2925,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8393","Helianthus grosseserratus",3,57.1,5.10333333333333,1.186,2.69459803863901e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8394","Helianthus heterophyllus",NA,32.5566666666667,4.46,NA,1.76189126523939e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8395","Helianthus laetiflorus",NA,NA,NA,5.4,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8396","Helianthus longifolius",NA,37.1533333333333,3.20666666666667,NA,2.17865232341752e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8397","Helianthus maximiliani",NA,47.5133333333333,2.7,1.9,2.46330917432121e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8398","Helianthus neglectus",NA,55.5266666666667,3.89,NA,2.10509552642011e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8399","Helianthus niveus",NA,48.6,3.64,NA,1.73298503135376e-05,NA,NA,NA,NA,NA
"8400","Helianthus nuttallii",NA,NA,NA,2.525,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8401","Helianthus occidentalis",1,42.2833333333333,3.59666666666667,2.6,1.88916511356049e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8402","Helianthus petiolaris",0.429295154185022,52.48,4.12,11.090300252588,2.11827835563984e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8403","Helianthus porteri",NA,53.6266666666667,3.30333333333333,NA,2.46451176370739e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8404","Helianthus praecox",NA,54.3266666666667,4.05666666666667,NA,2.31657411283306e-05,NA,NA,NA,NA,NA
"8405","Helianthus pumilus",NA,NA,NA,4.3,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8406","Helianthus radula",NA,24.6292592592593,2.77666666666667,NA,1.52187203903746e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8407","Helianthus salicifolius",NA,51.2433333333333,4.59666666666667,NA,2.36374853544368e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8408","Helianthus silphioides",NA,44.44,3.68666666666667,NA,2.48284612251904e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8409","Helianthus tuberosus",1.75,NA,NA,2,33.53,NA,"Asteraceae","Herb","Herb","herbaceous"
"8410","Helianthus verticillatus",NA,53.785,3.6,NA,2.83747992276389e-05,NA,"Asteraceae","Herb","Herb","herbaceous"
"8411","Helichrysum arenarium",0.2,NA,NA,NA,18.916,NA,"Asteraceae","Herb","Herb","herbaceous"
"8412","Helichrysum aureum",NA,NA,NA,0.2,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8413","Helichrysum elatum",NA,NA,NA,0.5181,NA,NA,"Asteraceae","Shrub","Shrub","woody"
"8414","Helichrysum foetidum",NA,NA,NA,0.03,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8415","Helichrysum patulum",NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA
"8416","Helichrysum rutidolepis",NA,NA,NA,0.39,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8417","Helichrysum scorpioides",0.34,NA,NA,0.07725,26.11,NA,NA,NA,NA,NA
"8418","Helichrysum splendidum",NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA
"8419","Helicia artocarpoides",NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA
"8420","Helicia cochinchinensis",NA,NA,NA,NA,NA,0.55102,NA,NA,NA,NA
"8421","Helicia excelsa",NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA
"8422","Helicia ferruginea",NA,NA,NA,NA,NA,0.588,NA,NA,NA,NA
"8423","Helicia glabriflora",15.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8424","Helicia lanceolata",NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA
"8425","Helicia nilagirica",NA,NA,NA,NA,NA,0.63227825,NA,NA,NA,NA
"8426","Heliconia acuminata",NA,NA,NA,78.56,NA,NA,NA,NA,NA,NA
"8427","Heliconia psittacorum",NA,NA,NA,127.6,NA,NA,"Heliconiaceae","Herb","Shrub_Herb","herbaceous"
"8428","Heliconia tortuosa",NA,NA,NA,112.68,NA,NA,"Heliconiaceae","Herb","Vine_Herb","herbaceous"
"8429","Helicostylis elegans",NA,NA,NA,NA,NA,0.65,"Moraceae","Tree","Shrub_Tree","woody"
"8430","Helicostylis pedunculata",NA,14,NA,NA,NA,0.675,"Moraceae","Tree","Tree","woody"
"8431","Helicostylis scabra",NA,NA,NA,NA,NA,0.735,"Moraceae","Tree","Shrub_Tree","woody"
"8432","Helicostylis tomentosa",NA,33.8,NA,NA,23.793,0.614710740833333,"Moraceae","Tree","Tree","woody"
"8433","Helicostylis tovarensis",NA,NA,NA,NA,23.3425225666667,NA,"Moraceae","Tree","Shrub_Tree","woody"
"8434","Helicteres angustifolia",NA,NA,0.76,NA,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"8435","Helicteres guazumifolia",NA,28.025,0.90964,NA,NA,NA,"Malvaceae","Shrub","Tree_Herb_Shrub","woody"
"8436","Helictotrichon bromoides",NA,17.3758,NA,NA,15.99,NA,NA,NA,NA,NA
"8437","Helictotrichon crassifolium",NA,22.2,NA,NA,10.8601216,NA,NA,NA,NA,NA
"8438","Helictotrichon parlatorei",0.475,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8439","Helictotrichon pratense",0.454,NA,NA,2.08,9.75505317811765,NA,"Poaceae","Herb","Herb","herbaceous"
"8440","Helictotrichon pubescens",0.498518518522222,NA,NA,1.55425,20.2519424855556,NA,"Poaceae","Herb","Herb","herbaceous"
"8441","Helictotrichon tibeticum",NA,13.8,1.16,NA,NA,NA,"Poaceae","Herb","Herb","herbaceous"
"8442","Helictotrichon versicolor",0.14,NA,NA,NA,13.1,NA,"Poaceae","Herb","Herb","herbaceous"
"8443","Helietta apiculata",11,NA,NA,NA,NA,0.8125,"Rutaceae","Tree","Shrub_Tree","woody"
"8444","Helietta parvifolia",10.3632,NA,NA,NA,NA,NA,"Rutaceae","Shrub","Tree_Shrub","woody"
"8445","Heliocarpus americanus",22,16.5,NA,NA,33.5033333333333,0.221333333333333,"Malvaceae","Tree","Shrub_Tree","woody"
"8446","Heliocarpus appendiculatus",30,21,1.7,2.5,17.4439744822745,0.185,"Malvaceae","Tree","Herb_Shrub_Tree","woody"
"8447","Heliocarpus donnellsmithii",NA,NA,NA,NA,NA,0.16,"Malvaceae","Tree","Shrub_Tree","woody"
"8448","Heliocarpus mexicanus",23,NA,NA,NA,NA,NA,"Malvaceae","Tree","Shrub_Tree","woody"
"8449","Heliocarpus pallidus",10.5,35,NA,3,28.37,0.5175,"Malvaceae","Tree","Shrub_Tree","woody"
"8450","Heliocarpus popayanensis",15.65,NA,NA,22300,20.43,0.24875,"Malvaceae","Tree","Tree","woody"
"8451","Heliomeris multiflora",0.315,40.1485,2.7891875,NA,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8452","Heliopsis helianthoides",1.5,NA,NA,NA,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8453","Heliotropium angiospermum",NA,NA,NA,0.33,NA,NA,"Boraginaceae","Herb","Shrub_Herb","herbaceous"
"8454","Heliotropium bracteatum",NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA
"8455","Heliotropium curassavicum",NA,NA,NA,2.535,NA,NA,"Boraginaceae","Herb","Shrub_Herb","herbaceous"
"8456","Heliotropium ellipticum",NA,NA,NA,0.5,NA,NA,"Boraginaceae","Herb","Herb","herbaceous"
"8457","Heliotropium europaeum",0.2,NA,NA,0.8,NA,NA,"Boraginaceae","Herb","Herb","herbaceous"
"8458","Heliotropium mendocinum",NA,NA,NA,0.63,NA,NA,"Boraginaceae","Herb","Herb","herbaceous"
"8459","Heliotropium tenuifolium",NA,NA,NA,0.209,NA,NA,NA,NA,NA,NA
"8460","Heliotropium ventricosum",NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA
"8461","Helleborus foetidus",0.341666666666667,16.6,NA,12.0918041237113,125.172695945695,NA,NA,NA,NA,NA
"8462","Helleborus lividus",NA,16.9,NA,NA,5.85445817,NA,NA,NA,NA,NA
"8463","Helleborus niger",0.225,NA,NA,7.395,NA,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"8464","Helleborus viridis",0.265625,NA,NA,NA,11.2,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"8465","Helminthotheca echioides",0.425,NA,NA,1.31,35.7777777777778,NA,NA,NA,NA,NA
"8466","Hemerocallis citrina",NA,NA,NA,NA,12.93250097,NA,"Xanthorrhoeaceae","Herb","Herb","herbaceous"
"8467","Hemerocallis fulva",0.525,NA,NA,27.9,NA,NA,"Xanthorrhoeaceae","Herb","Herb","herbaceous"
"8468","Hemerocallis lilioasphodelus",0.4,NA,NA,52.4,NA,NA,"Xanthorrhoeaceae","Herb","Herb","herbaceous"
"8469","Hemerocallis minor",NA,23.66,1.02,NA,NA,NA,"Xanthorrhoeaceae","Herb","Herb","herbaceous"
"8470","Hemicarpus didiscoides",NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"8471","Hemizonia congesta",NA,NA,NA,0.895333333333333,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8472","Hemizonia fasciculata",NA,NA,NA,0.5035,NA,NA,"Asteraceae","Herb","Shrub_Herb","herbaceous"
"8473","Hemizonia kelloggii",NA,NA,NA,0.404,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8474","Hemizonia pungens",NA,NA,NA,0.626,NA,NA,NA,NA,NA,NA
"8475","Henriettea multiflora",NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA
"8476","Henriettea succosa",NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA
"8477","Henriettea tuberculosa",NA,19.9743333333333,0.709161976666667,NA,17.883656096,0.47,"Melastomataceae","Tree","Herb_Shrub_Tree","woody"
"8478","Henriettella caudata",NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA
"8479","Henriettella verrucosa",NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA
"8480","Henriquezia verticillata",NA,NA,NA,NA,NA,0.73,"Rubiaceae","Tree","Tree","woody"
"8481","Hepatica nobilis",0.0942857142857143,NA,NA,3.2746,30.233,NA,"Ranunculaceae","Herb","Herb","herbaceous"
"8482","Heracleum austriacum",0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8483","Heracleum lanatum",0.3,NA,NA,9.64533333333333,NA,NA,"Apiaceae","Herb","Herb","herbaceous"
"8484","Heracleum mantegazzianum",3.7,NA,NA,NA,26.6985714285714,NA,"Apiaceae","Herb","Herb","herbaceous"
"8485","Heracleum maximum",3,NA,NA,6.46202166666667,NA,NA,"Apiaceae","Herb","Herb","herbaceous"
"8486","Heracleum sphondylium",1.35625,46.43575,4.29686,7.7147,20.66329666,NA,"Apiaceae","Herb","Herb","herbaceous"
"8487","Heritiera actinophylla",42.67,NA,NA,NA,NA,0.6851307333,"Malvaceae","Tree","Tree","woody"
"8488","Heritiera elata",NA,NA,NA,NA,NA,0.695,NA,NA,NA,NA
"8489","Heritiera fomes",NA,NA,NA,NA,NA,0.816114,NA,NA,NA,NA
"8490","Heritiera javanica",NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA
"8491","Heritiera littoralis",NA,NA,NA,17515.2683233333,NA,0.8479395,"Malvaceae","Tree","Tree","woody"
"8492","Heritiera parvifolia",NA,NA,0.72,NA,NA,0.72391325,"Malvaceae","Tree","Tree","woody"
"8493","Heritiera polyandra",NA,NA,NA,NA,NA,0.869805,NA,NA,NA,NA
"8494","Heritiera simplicifolia",NA,NA,NA,NA,NA,0.673333333333333,NA,NA,NA,NA
"8495","Heritiera sumatrana",NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA
"8496","Heritiera sylvatica",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA
"8497","Herminium monorchis",0.1,NA,NA,NA,NA,NA,"Orchidaceae","Herb","Herb","herbaceous"
"8498","Hernandia didymantha",NA,NA,NA,NA,NA,0.27942365,"Hernandiaceae","Tree","Tree","woody"
"8499","Hernandia guianensis",NA,NA,NA,NA,NA,0.25,"Hernandiaceae","Tree","Tree","woody"
"8500","Hernandia nymphaeifolia",NA,NA,NA,NA,NA,0.31,"Hernandiaceae","Tree","Tree","woody"
"8501","Hernandia sonora",NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA
"8502","Herniaria ciliolata",0.095,NA,NA,0.14,NA,NA,NA,NA,NA,NA
"8503","Herniaria glabra",0.093125,NA,NA,0.08,25.2174025974286,NA,"Caryophyllaceae","Herb","Herb","herbaceous"
"8504","Herniaria hirsuta",0.0935714285714286,NA,NA,0.9305,26.547,NA,"Caryophyllaceae","Herb","Herb","herbaceous"
"8505","Herniaria incana",0.125,NA,NA,NA,NA,NA,"Caryophyllaceae","Herb","Herb","herbaceous"
"8506","Herrania cuatrecasana",NA,29.9,NA,NA,29.253,NA,"Malvaceae","Tree","Tree","woody"
"8507","Herrania nitida",NA,30.9,NA,NA,27.037,NA,"Malvaceae","Tree","Shrub_Tree","woody"
"8508","Herrania purpurea",8,NA,NA,221.8315,NA,NA,NA,NA,NA,NA
"8509","Herrickia wasatchensis",NA,NA,NA,0.6,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8510","Hertia intermedia",NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
"8511","Hesperalbizia occidentalis",18,NA,NA,9,NA,NA,NA,NA,NA,NA
"8512","Hesperevax sparsiflora",NA,NA,NA,0.291,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8513","Hesperis matronalis",0.420416666666667,NA,NA,2.645,36.9142857142857,NA,"Brassicaceae","Herb","Herb","herbaceous"
"8514","Hesperocallis undulata",NA,NA,NA,6.148,NA,NA,"Asparagaceae","Herb","Herb","herbaceous"
"8515","Hesperocnide tenella",NA,NA,NA,0.094,NA,NA,"Urticaceae","Herb","Herb","herbaceous"
"8516","Hesperolinon micranthum",NA,NA,NA,0.3,0.1855,NA,"Linaceae","Herb","Herb","herbaceous"
"8517","Hesperolinon spergulinum",NA,NA,NA,1.57,NA,NA,"Linaceae","Herb","Herb","herbaceous"
"8518","Hesperomecon linearis",NA,NA,NA,0.044,NA,NA,"Papaveraceae","Herb","Herb","herbaceous"
"8519","Hesperomeles heterophylla",NA,NA,NA,NA,5.56688981975,NA,NA,NA,NA,NA
"8520","Hesperoyucca whipplei",NA,NA,NA,19.2197894736842,NA,NA,NA,NA,NA,NA
"8521","Heteranthera dubia",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8522","Heterocodon rariflorum",NA,NA,NA,0.018,NA,NA,"Campanulaceae","Herb","Herb","herbaceous"
"8523","Heteromeles arbutifolia",7.08453333333333,12.17600162,1.3100396,8.57459742857143,5.31734135902278,0.629333333333333,"Rosaceae","Shrub","Shrub","woody"
"8524","Heteropanax fragrans",NA,NA,NA,NA,NA,0.3442,NA,NA,NA,NA
"8525","Heteropogon contortus",0.271825,12.5,0.57565,1.944,6.036361465,NA,"Poaceae","Herb","Shrub_Herb","herbaceous"
"8526","Heteropogon triticeus",NA,NA,NA,11.4,NA,NA,"Poaceae","Herb","Herb","herbaceous"
"8527","Heteropyxis natalensis",NA,NA,NA,NA,NA,0.645875,"Myrtaceae","Tree","Tree","woody"
"8528","Heterostemon mimosoides",NA,NA,NA,NA,NA,0.6,"Fabaceae","Tree","Tree","woody"
"8529","Heterotheca grandiflora",NA,NA,NA,1.52,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8530","Heuchera maxima",NA,NA,NA,0.039,NA,NA,"Saxifragaceae","Herb","Herb","herbaceous"
"8531","Heuchera micrantha",0.6,NA,NA,0.0374882222222222,NA,NA,"Saxifragaceae","Herb","Herb","herbaceous"
"8532","Heuchera pilosissima",NA,NA,NA,0.0455,NA,NA,"Saxifragaceae","Herb","Herb","herbaceous"
"8533","Heuchera richardsonii",NA,NA,NA,0.05325,NA,NA,"Saxifragaceae","Herb","Herb","herbaceous"
"8534","Heuchera rubescens",NA,NA,NA,0.0525,NA,NA,"Saxifragaceae","Herb","Herb","herbaceous"
"8535","Hevea brasiliensis",NA,29.37,1.27,3809.45,NA,0.466625,"Euphorbiaceae","Tree","Tree","woody"
"8536","Hevea guianensis",NA,23,NA,NA,NA,0.555318640722222,"Euphorbiaceae","Tree","Shrub_Tree","woody"
"8537","Hevea microphylla",NA,NA,NA,NA,NA,0.43,"Euphorbiaceae","Shrub","Tree_Shrub","woody"
"8538","Hevea nitida",NA,NA,NA,NA,NA,0.54,"Euphorbiaceae","Tree","Shrub_Tree","woody"
"8539","Hevea pauciflora",NA,NA,NA,630,NA,0.46,"Euphorbiaceae","Tree","Tree","woody"
"8540","Hevea spruceana",NA,NA,NA,4088,NA,0.4,"Euphorbiaceae","Tree","Tree","woody"
"8541","Hexalobus crispiflorus",6.16666666666667,NA,NA,NA,NA,0.483655099,"Annonaceae","Tree","Tree","woody"
"8542","Hexalobus monopetalus",NA,NA,NA,NA,NA,0.662985,NA,NA,NA,NA
"8543","Heynea trijuga",7.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8544","Heywoodia lucens",NA,NA,NA,NA,NA,0.7448825,"Phyllanthaceae","Tree","Tree","woody"
"8545","Hibbertia bracteata",1.3,10.2022284,0.285,NA,4.54178009132607,NA,NA,NA,NA,NA
"8546","Hibbertia huegelii",NA,11.03,NA,NA,5.47104932,NA,NA,NA,NA,NA
"8547","Hibbertia hypericoides",NA,8.73797223529412,0.188833367058824,NA,NA,NA,NA,NA,NA,NA
"8548","Hibbertia linearis",0.62,NA,NA,6.12,8.75,NA,NA,NA,NA,NA
"8549","Hibbertia subvaginata",NA,13.19,NA,NA,4.06560791,NA,NA,NA,NA,NA
"8550","Hibiscus brachysiphonius",NA,NA,NA,6.19666666666667,NA,NA,NA,NA,NA,NA
"8551","Hibiscus caesius",NA,NA,NA,6.9,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"8552","Hibiscus cannabinus",NA,NA,NA,26.4605263157895,NA,NA,NA,NA,NA,NA
"8553","Hibiscus coulteri",NA,NA,NA,2.87,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"8554","Hibiscus diversifolius",NA,NA,NA,13.05,NA,NA,"Malvaceae","Shrub","Herb_Shrub","woody"
"8555","Hibiscus elatus",NA,NA,NA,100,NA,0.6,"Malvaceae","Tree","Tree","woody"
"8556","Hibiscus grandiflorus",NA,NA,NA,8.5,NA,NA,"Malvaceae","Shrub","Shrub","woody"
"8557","Hibiscus lasiocarpus",NA,NA,NA,7.90266666666667,NA,NA,NA,NA,NA,NA
"8558","Hibiscus lasiococcus",NA,NA,NA,NA,NA,0.3600226505,NA,NA,NA,NA
"8559","Hibiscus macrophyllus",NA,NA,NA,NA,NA,0.375,"Malvaceae","Tree","Tree","woody"
"8560","Hibiscus martianus",NA,NA,NA,8.105,NA,NA,NA,NA,NA,NA
"8561","Hibiscus meraukensis",NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA
"8562","Hibiscus moscheutos",3,NA,NA,9.12266666666667,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"8563","Hibiscus palustris",NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA
"8564","Hibiscus platanifolius",NA,NA,NA,24,NA,NA,NA,NA,NA,NA
"8565","Hibiscus sabdariffa",NA,NA,NA,20.7,NA,NA,NA,NA,NA,NA
"8566","Hibiscus sturtii",NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA
"8567","Hibiscus syriacus",5.334,NA,NA,15.558,NA,NA,NA,NA,NA,NA
"8568","Hibiscus trionum",0.325,18.7,2.09,3,NA,NA,"Malvaceae","Herb","Herb","herbaceous"
"8569","Hieracium albiflorum",1.2,NA,NA,0.5712766,0.315056152,NA,"Asteraceae","Herb","Herb","herbaceous"
"8570","Hieracium alpinum",0.0671428571428571,NA,NA,NA,23.711,NA,"Asteraceae","Herb","Herb","herbaceous"
"8571","Hieracium amplexicaule",0.175,NA,NA,0.5,27.58,NA,NA,NA,NA,NA
"8572","Hieracium bifidum",0.1,NA,NA,NA,24.4445,NA,NA,NA,NA,NA
"8573","Hieracium bupleuroides",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8574","Hieracium caesium",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8575","Hieracium cymosum",0.2,NA,NA,NA,21.232,NA,"Asteraceae","Herb","Herb","herbaceous"
"8576","Hieracium flagellare",NA,NA,NA,NA,16.2,NA,"Asteraceae","Herb","Herb","herbaceous"
"8577","Hieracium fuscocinereum",0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8578","Hieracium glaucinum",NA,NA,NA,NA,18.215,NA,NA,NA,NA,NA
"8579","Hieracium glaucum",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8580","Hieracium gronovii",1.2,NA,NA,0.175,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8581","Hieracium hoppeanum",0.06,NA,NA,NA,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8582","Hieracium horridum",NA,NA,NA,0.266333333333333,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8583","Hieracium humile",0.165,NA,NA,NA,20.052,NA,"Asteraceae","Herb","Herb","herbaceous"
"8584","Hieracium laevigatum",NA,NA,NA,NA,21.186,NA,"Asteraceae","Herb","Herb","herbaceous"
"8585","Hieracium maculatum",0.41,NA,NA,0.39,19.1,NA,"Asteraceae","Herb","Herb","herbaceous"
"8586","Hieracium murorum",0.135,NA,NA,NA,40.402,NA,"Asteraceae","Herb","Herb","herbaceous"
"8587","Hieracium paniculatum",1.2,NA,NA,0.323,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8588","Hieracium piliferum",0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8589","Hieracium pilosum",0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8590","Hieracium porrifolium",NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA
"8591","Hieracium prenanthoides",0.575,NA,NA,0.7,NA,NA,"Asteraceae","Herb","Herb","herbaceous"
"8592","Hieracium racemosum",0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8593","Hieracium sabaudum",0.8,NA,NA,0.39,45.552,NA,"Asteraceae","Herb","Herb","herbaceous"
"8594","Hieracium schmidtii",0.065,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8595","Hieracium sylvaticum",NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA
"8596","Hieracium umbellatum",0.425,NA,NA,0.65,20.3384474372727,NA,"Asteraceae","Herb","Herb","herbaceous"
"8597","Hieracium villosum",0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8598","Hierochloe alpina",0.3,20,NA,NA,4.40822392472369,NA,NA,NA,NA,NA
"8599","Hierochloe australis",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8600","Hierochloe occidentalis",NA,NA,NA,0.288,NA,NA,NA,NA,NA,NA
"8601","Hierochloe odorata",0.5,NA,NA,0.45,41.866,NA,NA,NA,NA,NA
"8602","Hieronyma alchorneoides",34,20.8142857142857,NA,21.128,29.76705,0.631355327230769,"Phyllanthaceae","Tree","Shrub_Tree","woody"
"8603","Hieronyma asperifolia",NA,NA,NA,NA,NA,0.645,"Phyllanthaceae","Tree","Tree","woody"
"8604","Hieronyma clusioides",NA,NA,NA,NA,NA,0.8,"Phyllanthaceae","Tree","Tree","woody"
"8605","Hieronyma oblonga",NA,22.3,NA,NA,19.5347237166667,0.601425,"Phyllanthaceae","Tree","Shrub_Tree","woody"
"8606","Hilaria rigida",NA,NA,NA,9.738,NA,NA,"Poaceae","Herb","Herb","herbaceous"
"8607","Himantoglossum hircinum",0.25,NA,NA,NA,19.988,NA,"Orchidaceae","Herb","Herb","herbaceous"
"8608","Himatanthus articulatus",NA,NA,NA,NA,NA,0.53631,"Apocynaceae","Tree","Tree","woody"
"8609","Himatanthus attenuatus",NA,NA,NA,NA,NA,0.48,"Apocynaceae","Tree","Shrub_Tree","woody"
"8610","Himatanthus bracteatus",NA,NA,NA,NA,NA,0.53,"Apocynaceae","Tree","Tree","woody"
"8611","Himatanthus obovatus",NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA
"8612","Himatanthus sucuuba",NA,26.3,NA,NA,20.717,0.462,"Apocynaceae","Tree","Herb_Shrub_Tree","woody"
"8613","Hintonia latiflora",12,NA,NA,3,NA,0.74,"Rubiaceae","Tree","Shrub_Tree","woody"
"8614","Hippobroma longiflora",NA,NA,NA,0.07,NA,NA,"Campanulaceae","Herb","Herb","herbaceous"
"8615","Hippocratea volubilis",NA,23.07175,0.9369724175,NA,NA,NA,NA,NA,NA,NA
"8616","Hippocrepis comosa",0.17125,NA,NA,3.435,15.2182352941176,NA,"Fabaceae","Herb","Herb","herbaceous"
"8617","Hippocrepis emerus",NA,NA,NA,6.1725,39.846,NA,NA,NA,NA,NA
"8618","Hippocrepis unisiliquosa",NA,NA,NA,4.815,NA,NA,NA,NA,NA,NA
"8619","Hippomane mancinella",14.0208,NA,NA,NA,NA,0.5,"Euphorbiaceae","Tree","Shrub_Tree","woody"
"8620","Hippophae tibetana",NA,43.7,2.37,NA,12.690355315,NA,"Elaeagnaceae","Shrub","Shrub","woody"
"8621","Hippuris vulgaris",0.31875,17.59,1.71,1.02342857142857,29.580844341,NA,"Plantaginaceae","Herb","Aquatic_Herb","herbaceous"
"8622","Hiraea grandifolia",NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA
"8623","Hirschfeldia incana",0.703571428571429,NA,NA,0.368,23.2911111111111,NA,"Brassicaceae","Herb","Herb","herbaceous"
"8624","Hirtella americana",15.5,NA,NA,216.19,NA,NA,"Chrysobalanaceae","Tree","Shrub_Tree","woody"
"8625","Hirtella bicornis",NA,NA,NA,NA,NA,0.9,"Chrysobalanaceae","Tree","Tree","woody"
"8626","Hirtella bullata",NA,NA,NA,NA,NA,0.49,"Chrysobalanaceae","Tree","Shrub_Tree","woody"
"8627","Hirtella ciliata",NA,NA,NA,NA,NA,0.82,"Chrysobalanaceae","Tree","Tree","woody"
"8628","Hirtella davisii",NA,NA,NA,NA,NA,0.80402,"Chrysobalanaceae","Tree","Tree","woody"
"8629","Hirtella excelsa",NA,19.8,NA,NA,21.2,NA,"Chrysobalanaceae","Tree","Shrub_Tree","woody"
"8630","Hirtella glandulosa",NA,NA,NA,NA,NA,0.925,NA,NA,NA,NA
"8631","Hirtella hebeclada",13,NA,NA,NA,NA,0.72,"Chrysobalanaceae","Tree","Tree","woody"
"8632","Hirtella pilosissima",NA,NA,NA,NA,NA,0.88,"Chrysobalanaceae","Tree","Shrub_Tree","woody"
"8633","Hirtella pimichina",NA,NA,NA,NA,NA,0.824,"Chrysobalanaceae","Tree","Tree","woody"
